NUM,NAME,SCORE,ABV,DES,TASTE,IMG
41,UV BLUE,2.66,30,none,none,"https://ip-distiller.imgix.net/images/spirits/53c0bac0-438e-0136-5ee4-0e049651645d/data_tile.?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=&amp;mark-align=top,left&amp;mark-pad=0&amp;mark=https://s3.amazonaws.com/is.distiller.com/images/spirit_request_tags/vodka_tag.png"
42,EFFEN CUCUMBER VODKA,3.22,37.5,This is a cucumber infusion of EFFEN’s classic wheat based vodka. The spirit runs through a column still thus achieving great purity and the temperature during the process is kept very low in order to avoid imparting any burnt flavors to the grain. Active carbon plays the last but critical step of filtering the spirit.,"{""grain"":0,""earthy"":45,""spicy"":5,""herbal"":25,""oily"":5,""chemical"":10,""rich"":5,""sweet"":65,""mineral"":5,""neutral"":5,""harsh"":0,""bitter"":15,""fruity"":35,""floral"":5}","https://ip-distiller.imgix.net/images/spirits/adc57740-3d13-0136-91a1-1636e562bc02/effen_cucumber_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
43,SMIRNOFF WATERMELON,3.13,35,This flavored vodka uses the classic grain-based No. 21 vodka as its base. It is infused with natural flavors. Bottled at 35% ABV.,none,"https://ip-distiller.imgix.net/images/spirits/c20074b0-981e-0135-392b-2a763213f724/smirnoff_watermelon_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
44,GREY GOOSE LA POIRE,4.28,40,La Poire first launched in 2007. It is made with the essential oils of pears including Anjou pear. These essences are added to Grey Goose's standard winter wheat-based vodka. Bottled at 40% ABV.,none,"https://ip-distiller.imgix.net/images/spirits/80ec1410-929b-0135-c57b-069e7aeecb86/grey_goose_la_poire_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
45,FINLANDIA CRANBERRY,3.5,37.5,"This flavored vodka uses the standard Finlandia as its base which is distilled from six-row barley and uses glacial spring water to bring it to proof. First launched in 1994, this cranberry flavored vodka used to be red in color from the berries used in its production. It is now colorless, but fear not. If you are looking for a red colored vodka, seek out Finlandia's Redberry Vodka.",none,"https://ip-distiller.imgix.net/images/spirits/aab6d8a0-9292-0135-c577-069e7aeecb86/finlandia_cranberry_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
46,KETEL ONE ORANJE,3.94,40,"Released in 2010, this orange-flavored vodka uses Brazilian and Floridian Valencia oranges and Italian Mandarin oranges in its production. The citrus oils are infused with their standard winter wheat-based vodka. Bottled at 40% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/2040bc00-8308-0135-b0d2-6654d75178dd/ketel_one_orange_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
47,SVEDKA CITRON,2.32,35,This citrus-flavored vodka uses Svedka's standard vodka as its base which is column-distilled from Swedish winter wheat. Natural lemon and lime flavors are added. Bottled at 35% ABV.,none,"https://ip-distiller.imgix.net/images/spirits/cde24ea0-99c6-0135-188b-760d491ef1bf/svedka_citron_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
48,SVEDKA STRAWBERRY LEMONADE,3.5,35,"First launched in 2014, this flavored vodka uses Svedka's standard vodka as its base which is column-distilled from Swedish winter wheat. Natural strawberry and lemon flavors are added. Bottled at 35% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/01529780-99c6-0135-a1fa-4a996165aaeb/svedka_strawberry_lemonade_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
49,STOLICHNAYA SALTED KARAMEL,4.14,37.5,"Released in 2012 as part of their indulgent vodka series, Salted Karamel is the first salted caramel flavored vodka on the market. It uses Stoli's standard grain-based (wheat and rye) vodka with added flavors. Bottled at 37.5% ABV.",none,"https://ip-distiller.imgix.net/images/spirits/c8c5afc0-99bf-0135-14e6-0e3c6d1e25b8/stolic_salted_karamel_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
50,STOLICHNAYA VANIL,3.39,37.5,Vanil is Stoli's vanilla-flavored vodka. It is grain based (wheat and rye). Bottled at 37.5% ABV.,none,"https://ip-distiller.imgix.net/images/spirits/8023d430-99bd-0135-14e1-0e3c6d1e25b8/stolichnaya_vanil_tile.jpg?w=280&amp;h=280&amp;mark-w=70&amp;mark-h=70&amp;fit=crop&amp;crop=right&amp;mark-align=top,left&amp;mark-pad=0&amp;mark="
